index,TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,target
0,14.089999999999975,2023-04-11 16:29:14,Debit,San Diego,ATM,70.0,Doctor,81.0,1.0,5112.21,2024-11-04 08:08:08,3
1,376.24,2023-06-27 16:44:19,Debit,Houston,ATM,68.0,Doctor,141.0,1.0,13758.91,2024-11-04 08:09:35,3
2,126.29000000000002,2023-07-10 18:16:08,Debit,Mesa,Online,19.0,Student,56.0,1.0,1122.35,2024-11-04 08:07:04,3
3,184.5,2023-05-05 16:32:11,Debit,Raleigh,Online,26.0,Student,25.0,1.0,8569.06,2024-11-04 08:09:06,3
5,92.15,2023-04-03 17:15:01,Debit,Oklahoma City,ATM,18.0,Student,172.0,1.0,781.6800000000003,2024-11-04 08:06:36,3
9,815.96,2023-03-31 16:06:57,Debit,Nashville,ATM,55.0,Doctor,120.0,1.0,1021.8800000000006,2024-11-04 08:06:32,0
11,190.02,2023-02-06 17:30:00,Debit,Memphis,Online,21.0,Student,173.0,1.0,1528.81,2024-11-04 08:07:12,0
13,781.76,2023-11-20 16:39:15,Debit,Memphis,ATM,26.0,Student,123.0,1.0,189.6899999999996,2024-11-04 08:07:06,2
14,166.99,2023-02-13 16:53:57,Debit,Louisville,Online,18.0,Student,134.0,1.0,299.9300000000003,2024-11-04 08:10:09,0
15,465.45,2023-12-12 16:23:31,Debit,Denver,ATM,36.0,Engineer,129.0,1.0,3465.54,2024-11-04 08:12:19,2
17,492.93,2023-12-14 18:32:14,Debit,Columbus,Online,39.0,Engineer,234.0,1.0,5109.97,2024-11-04 08:11:51,2
20,59.31999999999999,2023-02-28 16:36:58,Debit,Los Angeles,Branch,71.0,Retired,38.0,1.0,5750.89,2024-11-04 08:09:24,0
21,85.76999999999995,2023-08-11 18:31:31,Debit,Las Vegas,Branch,38.0,Doctor,93.0,1.0,9146.19,2024-11-04 08:08:13,1
22,52.19999999999999,2023-06-06 18:54:15,Debit,Atlanta,Online,39.0,Engineer,120.0,1.0,8974.93,2024-11-04 08:07:01,3
24,145.54,2023-03-02 16:43:56,Debit,Raleigh,Online,21.0,Student,96.0,1.0,1930.96,2024-11-04 08:07:09,0
27,40.31999999999999,2023-03-29 16:42:38,Debit,Milwaukee,Branch,37.0,Engineer,95.0,1.0,2686.52,2024-11-04 08:11:59,0
28,127.44999999999999,2023-01-24 16:18:32,Debit,Las Vegas,Online,44.0,Doctor,197.0,1.0,1772.06,2024-11-04 08:11:22,0
29,56.170000000000016,2023-09-20 16:55:42,Debit,Detroit,Branch,27.0,Student,283.0,1.0,1351.69,2024-11-04 08:08:30,1
31,59.12000000000003,2023-02-06 16:24:24,Debit,Baltimore,ATM,29.0,Doctor,257.0,1.0,9823.64,2024-11-04 08:06:58,0
33,877.81,2023-03-13 17:23:24,Debit,Los Angeles,Online,22.0,Student,150.0,1.0,399.0,2024-11-04 08:07:50,0
35,124.75999999999999,2023-10-16 16:32:56,Debit,Seattle,Branch,49.0,Engineer,45.0,1.0,5764.72,2024-11-04 08:06:23,2
36,78.13,2023-11-21 16:58:44,Debit,Milwaukee,Branch,26.0,Student,145.0,1.0,900.6099999999997,2024-11-04 08:12:18,2
39,335.63,2023-01-24 17:17:20,Debit,Oklahoma City,Online,55.0,Retired,216.0,1.0,1019.3899999999999,2024-11-04 08:07:32,0
40,328.47,2023-07-31 18:39:50,Debit,San Antonio,ATM,63.0,Retired,119.0,1.0,4323.66,2024-11-04 08:07:31,1
41,34.01999999999998,2023-01-09 16:13:21,Debit,Philadelphia,Online,38.0,Doctor,19.0,1.0,14214.48,2024-11-04 08:11:45,0
43,55.31999999999999,2023-04-12 16:03:37,Debit,Tucson,ATM,19.0,Student,117.0,1.0,241.78999999999996,2024-11-04 08:08:03,3
44,304.31,2023-07-26 16:52:28,Debit,Louisville,Branch,27.0,Student,33.0,1.0,868.6099999999997,2024-11-04 08:09:53,1
45,435.27,2023-10-04 17:49:29,Debit,Chicago,Branch,74.0,Retired,90.0,1.0,4673.28,2024-11-04 08:11:12,1
46,164.49,2023-12-13 16:01:38,Debit,Baltimore,Branch,26.0,Student,75.0,1.0,1509.27,2024-11-04 08:10:33,2
47,510.24,2023-10-09 16:29:40,Debit,Oklahoma City,Online,19.0,Student,105.0,1.0,781.6999999999998,2024-11-04 08:11:35,1
48,626.9,2023-11-27 16:45:57,Debit,Denver,Online,26.0,Student,138.0,1.0,265.5100000000002,2024-11-04 08:07:24,2
51,424.56,2023-02-21 17:45:55,Debit,Omaha,Online,51.0,Engineer,264.0,1.0,5183.85,,0
52,85.43,2023-06-07 16:45:34,Debit,Virginia Beach,Branch,67.0,Doctor,145.0,1.0,14904.9,2024-11-04 08:06:45,3
53,169.5,2023-09-07 16:51:27,Debit,San Diego,Branch,28.0,Student,142.0,1.0,918.8800000000001,2024-11-04 08:08:58,1
54,104.63,2023-03-29 17:47:16,Debit,Omaha,ATM,62.0,Retired,90.0,1.0,4477.78,2024-11-04 08:10:42,0
55,316.95,2023-08-04 17:53:40,Debit,Mesa,Branch,25.0,Student,83.0,1.0,1324.0299999999997,2024-11-04 08:09:15,1
58,386.52,2023-06-09 16:18:15,Debit,Indianapolis,Branch,48.0,Engineer,27.999999999999986,1.0,5630.61,2024-11-04 08:07:09,3
59,112.07,2023-10-02 16:35:22,Debit,Kansas City,Branch,23.0,Student,51.0,1.0,930.3000000000002,2024-11-04 08:11:37,1
60,568.52,2023-10-06 18:44:37,Debit,Indianapolis,ATM,46.0,Engineer,152.0,1.0,5499.91,,1
62,349.64,2023-11-07 16:48:23,Debit,Las Vegas,Online,48.0,Engineer,226.0,1.0,6651.62,2024-11-04 08:08:09,2
64,5.769999999999982,2023-11-02 16:01:40,Debit,Charlotte,Online,50.0,Doctor,124.0,1.0,13988.12,2024-11-04 08:11:32,2
66,298.42,2023-04-25 16:11:24,Debit,Indianapolis,Branch,56.0,Retired,225.0,1.0,3014.75,2024-11-04 08:10:12,3
67,521.06,2023-04-18 18:40:47,Debit,Albuquerque,Branch,25.0,Student,128.0,1.0,1951.42,2024-11-04 08:12:10,3
70,133.55000000000004,2023-07-18 16:12:00,Debit,Atlanta,ATM,44.0,Engineer,220.0,1.0,3846.28,2024-11-04 08:10:18,1
71,143.21,2023-01-13 17:00:16,Debit,Dallas,Online,35.0,Engineer,135.0,1.0,6374.82,2024-11-04 08:09:26,0
72,24.769999999999982,2023-07-04 18:20:33,Debit,Boston,ATM,62.0,Retired,55.0,1.0,5866.01,2024-11-04 08:12:15,3
75,232.12,2023-12-28 17:31:03,Debit,,ATM,37.0,Engineer,51.0,1.0,6689.87,2024-11-04 08:09:17,2
77,91.53,2023-03-13 16:32:12,Debit,Milwaukee,Branch,44.0,Doctor,69.0,1.0,14676.05,2024-11-04 08:11:36,0
78,120.29000000000002,2023-12-18 18:46:27,Debit,Miami,Branch,19.0,Student,77.0,1.0,1362.3900000000003,2024-11-04 08:06:50,2
79,174.25,2023-07-17 18:54:31,Debit,Seattle,Online,50.0,Doctor,67.0,1.0,10528.34,2024-11-04 08:10:29,1
80,183.71,2023-06-19 18:22:10,Debit,Denver,ATM,38.0,Engineer,102.0,1.0,552.5200000000004,2024-11-04 08:09:51,3
83,259.91,2023-11-06 16:34:10,Debit,Denver,Online,49.0,Doctor,170.0,1.0,7176.86,2024-11-04 08:09:38,2
84,154.71,2023-07-03 16:40:24,Debit,San Diego,Online,34.0,Doctor,157.0,1.0,1523.7200000000003,2024-11-04 08:09:42,3
86,24.560000000000002,2023-10-20 17:27:35,Debit,Mesa,Branch,64.0,Doctor,69.0,1.0,9869.93,2024-11-04 08:12:05,2
89,392.96,2023-11-20 16:28:09,Debit,Kansas City,Online,24.0,Student,100.0,1.0,791.6499999999996,2024-11-04 08:08:38,2
92,230.66,2023-03-27 18:16:04,Debit,Houston,Branch,21.0,Student,135.0,1.0,618.0500000000002,2024-11-04 08:10:44,0
94,644.17,2023-03-02 16:05:09,Debit,San Antonio,ATM,29.0,Engineer,72.0,1.0,1143.5199999999995,2024-11-04 08:08:04,0
97,25.360000000000014,2023-07-17 17:08:24,Debit,Louisville,ATM,57.0,Engineer,78.0,1.0,201.03999999999996,2024-11-04 08:11:05,1
98,147.62,2023-09-01 17:26:02,Debit,Charlotte,Branch,71.0,Retired,133.0,1.0,2115.8,2024-11-04 08:07:22,1
99,115.01999999999998,2023-09-11 16:19:04,Debit,San Antonio,Branch,37.0,Doctor,175.0,1.0,7643.66,2024-11-04 08:08:38,1
100,383.37,2023-01-24 17:23:56,Debit,Fort Worth,Branch,30.0,Engineer,24.0,1.0,8901.93,2024-11-04 08:11:07,0
103,196.16,2023-02-24 16:29:23,Debit,Virginia Beach,Branch,27.0,Engineer,146.0,1.0,9418.86,2024-11-04 08:08:32,0
104,129.94,2023-01-02 16:36:02,Debit,Las Vegas,ATM,32.0,Engineer,235.0,1.0,7954.92,2024-11-04 08:06:35,0
105,306.9,2023-11-30 16:31:03,Debit,Colorado Springs,Online,46.0,Engineer,51.0,1.0,9418.08,2024-11-04 08:10:48,2
106,114.98000000000002,2023-11-01 16:52:01,Debit,Seattle,Online,59.0,Retired,80.0,1.0,6144.68,2024-11-04 08:09:24,2
107,756.59,2023-03-06 16:47:02,Debit,Sacramento,Branch,27.0,Student,17.0,1.0,420.64999999999964,2024-11-04 08:11:40,0
108,503.76,2023-11-27 18:32:49,Debit,Los Angeles,Online,22.0,Student,35.0,1.0,447.8199999999997,2024-11-04 08:09:22,2
109,143.03,2023-07-31 16:37:46,Debit,San Antonio,ATM,63.0,Retired,147.0,1.0,7981.45,2024-11-04 08:10:42,1
114,327.86,2023-02-10 16:52:48,Debit,Fresno,Online,40.0,Engineer,104.0,1.0,480.15999999999985,2024-11-04 08:06:30,0
115,2.5,2023-07-21 16:43:11,Debit,San Diego,Online,47.0,Doctor,107.0,1.0,12145.27,2024-11-04 08:09:53,1
118,407.65,2023-07-07 16:11:38,Debit,Boston,Online,26.0,Engineer,62.0,1.0,8346.64,,3
119,115.82999999999998,2023-05-22 17:09:52,Debit,Fresno,Branch,39.0,Engineer,167.0,1.0,6481.04,2024-11-04 08:10:02,3
120,53.56999999999999,2023-08-16 16:17:12,Debit,Houston,ATM,69.0,Retired,121.0,1.0,1651.33,2024-11-04 08:08:43,1
122,317.87,,Debit,Detroit,Online,27.0,Student,91.0,1.0,145.5,2024-11-04 08:11:32,2
123,331.65,2023-08-25 17:26:07,Debit,Portland,Online,41.0,Engineer,61.00000000000001,1.0,4172.57,2024-11-04 08:11:00,1
124,5.0400000000000205,2023-11-27 16:38:34,Debit,Washington,ATM,56.0,Retired,41.0,1.0,5558.36,2024-11-04 08:10:48,2
126,598.81,2023-09-04 16:48:35,Debit,Philadelphia,Branch,57.0,Doctor,158.0,1.0,1415.52,2024-11-04 08:10:13,1
127,841.28,2023-08-09 17:34:26,Debit,Tucson,Online,26.0,Student,80.0,1.0,1103.6400000000003,2024-11-04 08:09:58,1
128,38.14999999999998,2023-09-07 16:07:40,Debit,Mesa,Online,26.0,Student,108.0,1.0,303.6800000000003,2024-11-04 08:07:42,1
130,124.72,2023-07-03 17:14:07,Debit,Oklahoma City,Branch,33.0,Engineer,105.0,1.0,6309.8,2024-11-04 08:07:25,3
132,208.04,2023-11-20 17:10:02,Debit,Louisville,Online,47.0,Engineer,273.0,1.0,9344.98,2024-11-04 08:08:45,2
134,381.33,2023-08-21 16:46:05,Debit,Albuquerque,ATM,56.0,Doctor,75.0,1.0,11835.35,2024-11-04 08:09:32,1
135,16.160000000000025,2023-10-16 16:59:36,Debit,Milwaukee,ATM,50.0,Doctor,124.0,1.0,14401.17,2024-11-04 08:11:59,2
136,486.08,2023-06-20 17:21:50,Debit,Oklahoma City,Online,18.0,Student,68.0,1.0,1748.69,2024-11-04 08:07:03,3
137,336.39,2023-01-16 16:53:38,Debit,San Antonio,Branch,21.0,Student,18.0,1.0,1000.46,2024-11-04 08:09:57,0
139,234.57,2023-09-01 16:09:08,Debit,Chicago,Online,23.0,Student,120.0,1.0,263.97999999999956,2024-11-04 08:08:47,1
140,6.0,2023-10-23 18:38:15,Debit,Chicago,Online,30.0,Doctor,246.0,1.0,5442.76,2024-11-04 08:09:43,2
142,227.14,2023-07-03 17:42:08,Debit,Charlotte,ATM,18.0,Student,294.0,1.0,341.9399999999996,2024-11-04 08:11:34,3
145,45.849999999999994,2023-02-16 17:57:10,Debit,Los Angeles,ATM,20.0,Student,92.0,1.0,1659.15,2024-11-04 08:07:24,0
148,415.5,2023-07-28 16:29:23,Debit,Memphis,ATM,66.0,Doctor,141.0,1.0,10113.66,2024-11-04 08:10:23,1
149,265.76,2023-02-06 17:48:55,Debit,Philadelphia,Online,54.0,Retired,92.0,1.0,4446.17,2024-11-04 08:12:18,0
150,69.4,2023-07-24 18:08:43,Debit,Virginia Beach,Online,80.0,Retired,113.0,1.0,6452.77,2024-11-04 08:09:04,1
152,267.9,2023-10-09 16:52:47,Debit,San Antonio,Online,20.0,Student,160.0,1.0,596.1599999999999,2024-11-04 08:08:34,1
153,496.03,2023-11-03 16:45:52,Debit,San Francisco,Branch,61.0,Doctor,265.0,1.0,12904.66,2024-11-04 08:09:41,2
154,376.26,2023-02-15 16:41:11,Debit,Tucson,ATM,37.0,Engineer,245.0,1.0,9062.4,2024-11-04 08:09:58,0
158,35.75999999999999,2023-09-19 17:38:18,Debit,Charlotte,Branch,23.0,Student,122.0,1.0,611.8599999999997,2024-11-04 08:11:40,1
159,28.529999999999973,2023-05-31 16:37:39,Debit,Washington,Online,62.0,Doctor,99.0,1.0,8670.53,2024-11-04 08:06:30,3
161,307.57,2023-01-09 16:12:01,Debit,Detroit,Branch,33.0,Doctor,285.0,1.0,5307.74,2024-11-04 08:06:33,0
163,74.86000000000001,2023-08-14 17:43:17,Debit,Nashville,Branch,70.0,Doctor,125.0,1.0,6921.48,2024-11-04 08:07:39,1
165,231.91,2023-01-31 18:31:22,Debit,Memphis,ATM,34.0,Engineer,165.0,1.0,112.76000000000022,2024-11-04 08:12:15,0
166,126.20999999999998,2023-02-14 16:07:01,Debit,Baltimore,Branch,75.0,Retired,268.0,1.0,5669.66,2024-11-04 08:08:42,0
168,304.35,2023-12-04 17:07:34,Debit,Houston,Branch,31.0,Engineer,36.0,1.0,4057.1,2024-11-04 08:08:45,2
169,281.85,2023-05-16 17:26:37,Debit,Detroit,ATM,22.0,Student,109.0,1.0,1585.98,2024-11-04 08:07:38,3
170,777.88,2023-03-20 16:58:12,Debit,Houston,Branch,31.0,Engineer,17.0,1.0,6825.55,2024-11-04 08:09:15,0
171,119.18,2023-08-25 18:01:38,Debit,Los Angeles,Branch,56.0,Retired,96.0,1.0,5516.5,2024-11-04 08:07:34,1
172,177.19,2023-05-15 17:25:28,Debit,Chicago,Online,76.0,Retired,43.000000000000014,1.0,5343.3,2024-11-04 08:06:30,3
173,260.88,2023-05-29 16:50:10,Debit,Denver,Branch,22.0,Student,36.0,1.0,903.0500000000002,2024-11-04 08:06:52,3
174,169.47,2023-03-22 16:10:14,Debit,Chicago,Online,24.0,Student,19.0,1.0,1806.1599999999999,2024-11-04 08:07:37,0
175,73.23000000000002,2023-05-19 16:52:53,Debit,Portland,Branch,26.0,Student,13.999999999999986,1.0,787.7399999999998,2024-11-04 08:11:12,3
177,792.57,2023-05-22 16:22:36,Debit,Baltimore,ATM,19.0,Student,164.0,1.0,770.3699999999999,2024-11-04 08:10:39,3
178,237.06,2023-12-18 16:47:17,Debit,Phoenix,Online,71.0,Retired,46.0,1.0,1182.7699999999995,2024-11-04 08:07:50,2
180,740.25,2023-07-19 17:03:58,Debit,Philadelphia,Online,41.0,Doctor,123.0,1.0,14464.3,2024-11-04 08:08:27,1
181,453.54,2023-04-19 16:36:03,Debit,Albuquerque,ATM,58.0,Doctor,82.0,1.0,12046.3,2024-11-04 08:12:06,3
182,300.47,2023-11-13 16:11:52,Debit,Jacksonville,Branch,73.0,Retired,100.0,1.0,7885.64,2024-11-04 08:08:00,2
184,201.69,2023-01-03 16:46:36,Debit,Las Vegas,ATM,59.0,Doctor,299.0,1.0,7328.52,2024-11-04 08:10:16,0
185,399.21,2023-01-30 16:15:49,Debit,Portland,ATM,59.0,Engineer,109.0,1.0,3210.39,2024-11-04 08:08:21,0
187,630.36,2023-03-02 16:11:53,Debit,Mesa,ATM,62.0,Retired,52.0,1.0,1363.65,2024-11-04 08:12:15,0
189,215.9,2023-01-04 16:02:09,Debit,Los Angeles,ATM,38.0,Doctor,235.0,1.0,7873.28,2024-11-04 08:10:23,0
194,488.54,2023-07-03 17:47:49,Debit,Jacksonville,Branch,52.0,Engineer,132.0,1.0,7486.63,2024-11-04 08:07:26,3
197,20.360000000000014,2023-07-24 17:02:18,Debit,Tucson,Branch,62.0,Retired,75.0,1.0,2762.48,2024-11-04 08:11:15,1
199,493.11,2023-07-31 16:25:26,Debit,Colorado Springs,Branch,53.0,Retired,236.0,1.0,7432.99,2024-11-04 08:08:01,1
200,307.41,2023-06-12 17:32:52,Debit,Los Angeles,ATM,19.0,Student,13.999999999999986,1.0,1057.0000000000005,2024-11-04 08:09:48,3
201,11.180000000000007,2023-11-30 16:52:42,Debit,Atlanta,Online,43.0,Doctor,161.0,1.0,5956.89,2024-11-04 08:10:20,2
202,313.82,2023-11-15 18:57:38,Debit,Tucson,Branch,59.0,Engineer,151.0,1.0,7261.59,2024-11-04 08:08:42,2
204,140.98,2023-05-25 16:34:22,Debit,Memphis,Branch,60.0,Engineer,100.0,1.0,8127.48,2024-11-04 08:12:13,3
205,288.04,2023-08-24 16:47:21,Debit,Denver,ATM,68.0,Retired,63.0,1.0,1748.02,2024-11-04 08:10:00,1
206,800.55,2023-05-04 16:21:31,Debit,Oklahoma City,ATM,31.0,Engineer,108.0,1.0,9660.22,2024-11-04 08:06:49,3
207,485.54,2023-02-06 17:46:59,Debit,Houston,ATM,46.0,Engineer,143.0,1.0,6371.51,2024-11-04 08:11:46,0
208,521.15,2023-02-17 18:16:05,Debit,Kansas City,ATM,54.0,Doctor,214.0,1.0,9442.47,2024-11-04 08:07:31,0
210,304.93,2023-02-24 16:23:22,Debit,Portland,ATM,65.0,Doctor,158.0,1.0,13531.22,2024-11-04 08:08:15,0
212,694.2,2023-12-07 16:20:08,Debit,Milwaukee,ATM,61.0,Retired,72.0,1.0,1389.37,2024-11-04 08:07:23,2
213,116.86000000000001,2023-03-20 18:28:48,Debit,Louisville,ATM,55.0,Engineer,171.0,1.0,6706.56,2024-11-04 08:12:15,0
215,74.88,2023-05-24 16:25:50,Debit,Atlanta,ATM,25.0,Student,202.0,1.0,420.6700000000001,2024-11-04 08:07:46,3
219,361.27,2023-01-06 17:01:53,Debit,Omaha,ATM,63.0,Doctor,180.0,1.0,7945.57,2024-11-04 08:10:07,0
220,131.56,2023-10-19 16:42:37,Debit,Charlotte,Branch,44.0,Doctor,42.0,1.0,5873.54,2024-11-04 08:07:12,2
222,547.87,2023-07-10 17:15:27,Debit,Columbus,ATM,64.0,Retired,131.0,1.0,6155.76,2024-11-04 08:10:31,3
223,457.3,2023-06-26 18:25:21,Debit,Virginia Beach,Online,28.0,Engineer,15.0,1.0,8318.29,2024-11-04 08:07:53,3
224,506.24,2023-01-13 16:44:26,Debit,Chicago,ATM,58.0,Engineer,64.0,1.0,230.09000000000015,2024-11-04 08:11:40,0
225,486.59,2023-12-19 16:55:17,Debit,Indianapolis,Branch,57.0,Retired,119.0,1.0,2513.56,2024-11-04 08:10:02,2
226,163.68,2023-09-28 16:20:57,Debit,San Diego,Branch,41.0,Doctor,292.0,1.0,10090.05,2024-11-04 08:11:01,1
227,581.65,2023-01-09 16:54:58,Debit,Boston,ATM,22.0,Student,176.0,1.0,480.1899999999996,2024-11-04 08:09:39,0
228,52.01000000000002,2023-11-07 16:46:04,Debit,Mesa,ATM,48.0,Doctor,85.0,1.0,1120.8799999999997,2024-11-04 08:11:27,2
229,630.24,2023-11-29 18:10:30,Debit,Boston,ATM,21.0,Student,62.0,1.0,370.8100000000004,2024-11-04 08:11:52,2
230,523.74,2023-11-02 16:36:37,Debit,Oklahoma City,ATM,43.0,Doctor,159.0,1.0,13498.55,2024-11-04 08:06:52,2
233,91.48000000000002,2023-01-23 16:50:31,Debit,Fort Worth,ATM,51.0,Doctor,141.0,1.0,14942.78,2024-11-04 08:09:17,0
234,5.25,2023-11-13 18:26:24,Debit,San Jose,ATM,39.0,Doctor,49.0,1.0,14143.32,2024-11-04 08:12:22,2
236,736.73,2023-11-27 16:05:27,Debit,Memphis,Branch,48.0,Engineer,10.0,1.0,3313.07,2024-11-04 08:10:54,2
240,177.08,2023-01-06 17:16:44,Debit,Las Vegas,,35.0,Doctor,85.0,1.0,13475.14,2024-11-04 08:12:21,0
241,588.54,2023-02-06 17:57:28,Debit,Portland,Branch,32.0,Engineer,130.0,1.0,714.4499999999998,2024-11-04 08:10:37,0
242,173.5,2023-10-23 17:16:20,Debit,Nashville,ATM,21.0,Student,282.0,1.0,1306.9099999999999,2024-11-04 08:11:52,2
244,40.65999999999997,2024-01-01 16:08:49,Debit,Louisville,Branch,59.0,Retired,156.0,1.0,1153.8400000000001,2024-11-04 08:11:28,2
246,34.06999999999999,2023-11-06 17:22:58,Debit,Philadelphia,Branch,22.0,Student,81.0,1.0,8709.77,2024-11-04 08:07:21,2
247,492.06,2023-10-19 16:14:15,Debit,Fresno,Online,23.0,Student,74.0,1.0,857.8999999999996,2024-11-04 08:09:56,2
249,73.55000000000001,2023-01-09 16:09:48,Debit,Atlanta,ATM,51.0,Engineer,158.0,1.0,2812.06,2024-11-04 08:11:21,0
250,760.53,2023-09-04 18:13:25,Debit,Phoenix,Online,57.0,Engineer,118.0,1.0,6179.91,2024-11-04 08:09:35,1
252,371.69,2023-12-22 16:27:49,Debit,San Francisco,Branch,67.0,Retired,143.0,1.0,3484.32,2024-11-04 08:09:59,2
253,218.96,2023-08-30 16:11:47,Debit,Seattle,ATM,18.0,Student,13.0,1.0,754.21,2024-11-04 08:10:35,1
254,227.39,2023-12-25 16:58:19,Debit,Atlanta,Online,18.0,Student,65.0,1.0,751.0900000000001,2024-11-04 08:11:36,2
256,186.6,2023-07-04 16:27:23,Debit,,Online,58.0,Doctor,13.0,1.0,1508.7200000000003,2024-11-04 08:06:24,3
257,341.15,2023-02-13 17:18:15,Debit,San Jose,Online,18.0,Student,148.0,1.0,511.3699999999999,2024-11-04 08:10:09,0
258,434.58,2023-09-06 16:28:38,Debit,Memphis,ATM,59.0,Doctor,215.0,1.0,12648.32,2024-11-04 08:08:15,1
260,75.15,2023-09-18 17:31:23,Debit,Boston,ATM,23.0,Student,154.0,1.0,1092.9199999999996,2024-11-04 08:11:00,1
